1,1,4,5,6
1,1,4,5,6
1,1,4,5,6
2,1,4,5,6
1,0,4,5,6
18,0,4,5,6
28,0,4,5,6
13,0,4,5,6
6,0,4,5,6
11,0,4,5,6
16,0,4,5,6
24,0,4,5,6
8,0,4,5,6
2,1,4,5,6
1,0,4,5,6
18,0,4,5,6
28,0,4,5,6
13,0,4,5,6
6,0,4,5,6
11,0,4,5,6
16,0,4,5,6
24,0,4,5,6
8,0,4,5,6
46,0,4,5,6
48,1,4,5,6
39,1,4,5,6
40,1,4,5,6
36,1,4,5,6
38,1,4,5,6
37,0,4,5,6
31,0,4,5,6
45,1,4,5,6
41,0,4,5,6
31,0,4,5,6
32,0,4,5,6
33,0,4,5,6
34,0,4,5,6
35,0,4,5,6
36,1,4,5,6
37,0,4,5,6
38,0,4,5,6
39,1,4,5,6
40,0,4,5,6
31,0,4,5,6
32,0,4,5,6
33,0,4,5,6
34,0,4,5,6
35,0,4,5,6
36,0,4,5,6
37,0,4,5,6
38,1,4,5,6
39,0,4,5,6
40,0,4,5,6
31,0,4,5,6
32,0,4,5,6
33,1,4,5,6
34,0,4,5,6
35,0,4,5,6
36,0,4,5,6
37,1,4,5,6
38,0,4,5,6
39,0,4,5,6
40,0,4,5,6
31,0,4,5,6
32,0,4,5,6
33,0,4,5,6
34,0,4,5,6
35,1,4,5,6
36,1,4,5,6
37,0,4,5,6
38,0,4,5,6
39,0,4,5,6
40,1,4,5,6
40,0,4,5,6
48,0,4,5,6
44,0,4,5,6
33,1,4,5,6
47,0,4,5,6
36,1,4,5,6
32,0,4,5,6
42,0,4,5,6
31,1,4,5,6
51,1,4,5,6
31,1,4,5,6
32,0,4,5,6
33,1,4,5,6
34,0,4,5,6
35,1,4,5,6
36,0,4,5,6
37,0,4,5,6
38,0,4,5,6
39,0,4,5,6
40,1,4,5,6
1,1,4,5,6
